index,label,pred,cycles,roundtrip_ms,raw
0,7,7,10427759,458.8209280009323,PRED=7 CYCLES=10427759
1,2,2,11270156,489.82665600124164,PRED=2 CYCLES=11270156
2,1,1,9598164,427.47110400159727,PRED=1 CYCLES=9598164
3,0,0,11742398,506.9602620023943,PRED=0 CYCLES=11742398
4,4,4,10863412,474.8111330009124,PRED=4 CYCLES=10863412
5,1,1,9804495,435.14430100185564,PRED=1 CYCLES=9804495
6,4,4,11069799,481.9826790007937,PRED=4 CYCLES=11069799
7,9,9,10475443,460.2970359992469,PRED=9 CYCLES=10475443
8,5,5,11390798,494.2603390009026,PRED=5 CYCLES=11390798
9,9,9,11443569,495.9542579999834,PRED=9 CYCLES=11443569
10,0,0,11628990,503.1797980009287,PRED=0 CYCLES=11628990
11,6,6,11698746,505.3702520017396,PRED=6 CYCLES=11698746
12,9,9,10926896,477.0232000009855,PRED=9 CYCLES=10926896
13,0,0,11438187,495.92975300038233,PRED=0 CYCLES=11438187
14,1,1,9782724,434.2166940004972,PRED=1 CYCLES=9782724
15,5,5,10941613,477.364023001428,PRED=5 CYCLES=10941613
16,9,9,10974034,478.8429959990026,PRED=9 CYCLES=10974034
17,7,7,10782328,471.6012190001493,PRED=7 CYCLES=10782328
18,3,3,11845595,510.81811000040034,PRED=3 CYCLES=11845595
19,4,4,10357648,456.0865690000355,PRED=4 CYCLES=10357648
20,9,9,11049580,481.59949100227095,PRED=9 CYCLES=11049580
21,6,6,10788704,471.56973000164726,PRED=6 CYCLES=10788704
22,6,6,11179924,486.3213419994281,PRED=6 CYCLES=11179924
23,5,5,10910294,476.4488180007902,PRED=5 CYCLES=10910294
24,4,4,10306598,453.7390420009615,PRED=4 CYCLES=10306598
25,0,0,12788012,546.0047739979927,PRED=0 CYCLES=12788012
26,7,7,10070168,445.09038899923326,PRED=7 CYCLES=10070168
27,4,4,10882356,475.0016100006178,PRED=4 CYCLES=10882356
28,0,0,11640039,503.3496300020488,PRED=0 CYCLES=11640039
29,1,1,9529320,425.10619899985613,PRED=1 CYCLES=9529320
30,3,3,10864715,474.54259900041507,PRED=3 CYCLES=10864715
31,1,1,9413236,421.27439500109176,PRED=1 CYCLES=9413236
32,3,3,11164119,485.7952349993866,PRED=3 CYCLES=11164119
33,4,0,11234014,488.0934819993854,PRED=0 CYCLES=11234014
34,7,7,11062079,482.00623500088113,PRED=7 CYCLES=11062079
35,2,2,11779338,508.64782099961303,PRED=2 CYCLES=11779338
36,7,7,10860695,474.36522700081696,PRED=7 CYCLES=10860695
37,1,1,9568983,426.7118930001743,PRED=1 CYCLES=9568983
38,2,2,10982222,479.12844799793675,PRED=2 CYCLES=10982222
39,1,1,9941254,440.10225999954855,PRED=1 CYCLES=9941254
40,1,1,9204006,413.0848650020198,PRED=1 CYCLES=9204006
41,7,7,10455790,459.70999600103823,PRED=7 CYCLES=10455790
42,4,4,10776644,471.53993399842875,PRED=4 CYCLES=10776644
43,2,2,10389412,456.7917340027634,PRED=2 CYCLES=10389412
44,3,3,10332418,454.7565870016115,PRED=3 CYCLES=10332418
45,5,5,10904153,476.21992499989574,PRED=5 CYCLES=10904153
46,1,1,9933741,439.7920189985598,PRED=1 CYCLES=9933741
47,2,2,10572476,463.9347530028317,PRED=2 CYCLES=10572476
48,4,4,11698313,505.6825059982657,PRED=4 CYCLES=11698313
49,4,4,10930588,476.8022380012553,PRED=4 CYCLES=10930588
50,6,6,10748173,470.5442380000022,PRED=6 CYCLES=10748173
51,3,3,11932204,514.3163530010497,PRED=3 CYCLES=11932204
52,5,5,11203711,486.95319399848813,PRED=5 CYCLES=11203711
53,5,5,10829306,473.29978799825767,PRED=5 CYCLES=10829306
54,6,6,11759790,508.0012620019261,PRED=6 CYCLES=11759790
55,0,0,11251307,489.02625900154817,PRED=0 CYCLES=11251307
56,4,4,11259782,489.4785399992543,PRED=4 CYCLES=11259782
57,1,1,9514603,424.7258739997051,PRED=1 CYCLES=9514603
58,9,9,11208397,487.0931390032638,PRED=9 CYCLES=11208397
59,5,5,10038626,444.17910699849017,PRED=5 CYCLES=10038626
60,7,7,10557467,463.25288400112186,PRED=7 CYCLES=10557467
61,8,8,11531456,499.25364299997455,PRED=8 CYCLES=11531456
62,9,9,10224110,451.61336599994684,PRED=9 CYCLES=10224110
63,3,3,10838501,473.9511699990544,PRED=3 CYCLES=10838501
64,7,7,11726913,506.3496100010525,PRED=7 CYCLES=11726913
65,4,4,9924122,439.67383499693824,PRED=4 CYCLES=9924122
66,6,6,11420223,495.3694270006963,PRED=6 CYCLES=11420223
67,4,4,11035666,480.70266300055664,PRED=4 CYCLES=11035666
68,3,3,11541037,499.92231799842557,PRED=3 CYCLES=11541037
69,0,0,11539046,499.7959069987701,PRED=0 CYCLES=11539046
70,7,7,10619019,465.4286580007465,PRED=7 CYCLES=10619019
71,0,0,12111071,520.9229850006523,PRED=0 CYCLES=12111071
72,2,2,11264774,489.59001500043087,PRED=2 CYCLES=11264774
73,9,9,11006233,479.6758930024225,PRED=9 CYCLES=11006233
74,1,1,9696593,431.26697699699434,PRED=1 CYCLES=9696593
75,7,7,10900048,475.929107000411,PRED=7 CYCLES=10900048
76,3,3,10572750,463.74138700048206,PRED=3 CYCLES=10572750
77,2,2,10820031,472.7291589988454,PRED=2 CYCLES=10820031
78,9,9,10518912,461.95633499883115,PRED=9 CYCLES=10518912
79,7,7,11761144,507.64789300228585,PRED=7 CYCLES=11761144
80,7,9,10267712,452.2734140009561,PRED=9 CYCLES=10267712
81,6,6,11135228,484.4639510010893,PRED=6 CYCLES=11135228
82,2,2,11545405,499.8932109992893,PRED=2 CYCLES=11545405
83,7,7,10282245,452.841381997132,PRED=7 CYCLES=10282245
84,8,8,11671727,504.6147089997248,PRED=8 CYCLES=11671727
85,4,4,11619339,502.3932889998832,PRED=4 CYCLES=11619339
86,7,7,10849145,473.85239000141155,PRED=7 CYCLES=10849145
87,3,3,11403420,494.5789759985928,PRED=3 CYCLES=11403420
88,6,6,11239307,488.2459850014129,PRED=6 CYCLES=11239307
89,1,1,10069898,444.8922779993154,PRED=1 CYCLES=10069898
